,,median,25_percentile,75_percentile
22,30,-25.466412,-38.22232914,-15.82940531
22,35,-25.210842,-38.18147373,-15.72469091
22,40,-25.127832,-38.11578465,-15.7506876
22,45,-24.967548,-38.0556097,-15.70326972
22,50,-24.71581,-37.93571949,-15.69704437
22,55,-24.598646,-37.71893692,-15.46220303
23,0,-24.433315,-37.34182739,-15.31615782
23,5,-24.854,-37.11419106,-15.39681721
23,10,-25.351532,-37.11839199,-15.58723044
23,15,-25.479351,-37.24068546,-15.6194663
23,20,-25.85262,-37.20880508,-15.65592766
23,25,-25.968414,-37.19207954,-15.735116
23,30,-26.02942,-37.16684151,-15.61032367
23,35,-25.936485,-37.05148315,-15.67218494
23,40,-25.922451,-36.88928795,-15.55095816
23,45,-26.10026,-37.16013718,-15.63297272
23,50,-26.208435,-37.22995567,-15.3415997
23,55,-26.01129,-37.49070549,-15.1732657
