,,median,75_per_quantile,25_per_quantile
16,50,45.1698,84.86909485,-1.599176168
16,55,39.429733,78.89718056,-4.922715425
17,0,33.350414,72.40590858,-8.69275713
17,5,26.625866,64.6789608,-13.20004797
17,10,21.938126,56.93349171,-16.28326416
17,15,15.945293,49.56338692,-21.26340914
17,20,10.760832,42.53000546,-23.9046464
17,25,4.067213,34.7334156,-28.45383644
17,30,-2.285788,27.82312441,-32.46081066
17,35,-9.112017,19.50170898,-37.00791645
17,40,-12.638115,11.68263578,-42.09805298
17,45,-17.842339,5.665330887,-46.18305874
17,50,-23.507343,0.156531811,-50.48684692
17,55,-27.733238,-4.6832968,-56.12890434
18,0,-33.311264,-9.387281895,-62.55362129
18,5,-34.49559,-10.89400983,-62.67168617
18,10,-35.914436,-12.31121778,-64.01586914
18,15,-37.06347,-13.33307004,-64.02161598
18,20,-38.451363,-14.55608225,-64.46806717
18,25,-40.308372,-16.1027236,-65.40874863
18,30,-41.896576,-17.50286865,-67.45353127
18,35,-42.348866,-19.71823215,-67.86581612
18,40,-43.062023,-20.99663162,-70.28045464
18,45,-44.111053,-22.98255634,-70.99949646
18,50,-46.200184,-23.83621693,-71.23941994
18,55,-48.08648,-25.49419498,-70.90529633
19,0,-48.958973,-26.09920454,-71.51620102
19,5,-49.4595,-26.17902184,-71.25766182
19,10,-49.326744,-27.25840044,-70.3275032
19,15,-49.524734,-28.05168819,-69.89550018
19,20,-49.7881,-28.49591351,-70.19898415
19,25,-50.03197,-29.36395836,-70.95117188
19,30,-50.45143,-29.30873585,-70.82431221
19,35,-49.149757,-28.90817356,-70.31942368
19,40,-48.49961,-28.35221291,-68.1457653
19,45,-47.84503,-27.83367062,-67.08069992
19,50,-46.882668,-27.51826143,-65.60199356
19,55,-45.81241,-26.85464191,-65.55901146
20,0,-45.02602,-25.68076849,-64.57150841
20,5,-44.80521,-25.45726871,-64.31323814
20,10,-43.568542,-25.22051144,-63.92131901
20,15,-42.849625,-25.08007479,-63.01621914
20,20,-42.359703,-24.12223482,-61.33638191
20,25,-42.49677,-24.07001162,-60.70244694
20,30,-41.61552,-23.78222418,-60.18458462
20,35,-40.951218,-23.43378973,-59.64459133
20,40,-40.767548,-23.09658861,-58.7638073
20,45,-40.228718,-22.77188683,-58.69151402
20,50,-39.63851,-22.31178188,-57.70437908
20,55,-39.370018,-22.07316923,-57.31018829
21,0,-38.837486,-21.66069984,-57.35524845
21,5,-39.000977,-22.21158028,-57.23873711
21,10,-39.53334,-22.06607437,-57.61787128
21,15,-39.649776,-22.47739697,-57.82886124
21,20,-39.76331,-22.83626842,-58.5306921
21,25,-39.94146,-22.89098501,-58.57365036
21,30,-40.151863,-22.87127542,-58.57098198
21,35,-40.009903,-22.8032918,-58.33828163
21,40,-39.980873,-23.16848612,-58.15971661
21,45,-40.05912,-22.78531265,-58.03222847
21,50,-39.94723,-23.20748854,-58.33836555
21,55,-39.95596,-23.30295801,-58.74207115
22,0,-40.238068,-23.15401173,-58.87756252
22,5,-39.978657,-23.43571854,-58.79545307
22,10,-40.095036,-23.1797595,-58.48541069
22,15,-40.773834,-23.59477043,-58.9646225
22,20,-40.531143,-23.74997711,-58.26390362
22,25,-40.627068,-24.05795956,-58.127285
22,30,-40.638237,-24.02164459,-57.92959023
22,35,-40.731865,-24.01346731,-57.68155384
22,40,-41.250187,-23.90309,-57.75636673
22,45,-41.052834,-23.77149963,-57.806283
22,50,-40.881756,-23.77842522,-57.72501945
22,55,-40.724937,-23.92098808,-57.45695782
23,0,-40.096565,-23.69899178,-57.44782257
23,5,-39.924286,-24.35544395,-57.55165005
23,10,-40.00332,-24.18015528,-57.42852211
23,15,-39.652695,-23.85951996,-56.76056004
23,20,-39.847794,-23.81795645,-56.20593643
23,25,-39.74536,-23.77600241,-56.46103859
23,30,-39.597237,-23.55055714,-56.47295666
23,35,-39.39303,-23.78927374,-55.8217907
23,40,-39.151093,-23.76247454,-54.85873508
23,45,-39.183525,-23.81001759,-55.22913647
23,50,-39.10804,-23.73636293,-55.38560581
23,55,-39.102463,-23.77746582,-55.97788048
