,,median,75_per_quantile,25_per_quantile
5,45,10.946179,43.64212799,-13.78332043
5,50,18.54766,51.69044971,-11.29267406
5,55,24.876883,60.16635036,-6.70219624
6,0,30.29341,69.2393322,-3.504281878
6,5,34.254246,73.08339119,-0.208610773
6,10,38.06426,77.42673874,1.459135532
6,15,41.811497,81.55231285,4.740244389
6,20,45.71753,86.37336731,8.198843718
6,25,49.912712,91.43664169,12.51699114
6,30,54.533504,96.1157093,17.77187252
6,35,58.627975,100.8422546,21.92115879
6,40,63.54767,105.6104774,25.14153385
6,45,67.662094,110.1385441,28.58910656
6,50,72.49165,115.3997078,32.44560623
6,55,77.18982,120.5636921,36.46143723
7,0,81.59691,125.7184925,40.90106773
7,5,86.99407,131.689106,45.31965446
7,10,92.46481,137.4756851,49.62351036
7,15,97.41086,142.9357224,53.38773918
7,20,103.31439,148.83041,58.11473083
7,25,109.04924,154.3466301,62.35355091
7,30,114.852325,160.3186493,66.67272568
7,35,120.251114,166.6096573,71.10270309
7,40,125.38927,172.9685059,75.13551712
7,45,130.69943,179.1929855,79.5050621
7,50,136.69629,186.0839767,84.19151306
7,55,142.73969,192.9463043,87.49757957
8,0,148.44498,198.9217033,90.30018616
8,5,155.24002,205.7348938,97.63417435
8,10,161.41283,212.1240005,103.0364265
8,15,167.12935,219.2527008,108.3031502
8,20,174.00296,225.3000717,114.6545467
8,25,180.40833,230.9919472,120.6399059
8,30,186.60492,236.3173065,126.9444084
8,35,193.76945,242.7921715,133.5285225
8,40,200.97647,251.5465355,139.8857651
8,45,208.12335,258.4322205,146.7900238
8,50,215.17813,263.4235001,150.4586258
8,55,222.41768,269.9547119,157.6650391
9,0,229.42288,277.469635,164.1442833
9,5,233.70038,283.9758911,168.1072388
9,10,239.4291,289.51577,171.7088203
9,15,245.04398,295.1503983,175.9230423
9,20,250.52266,300.6342163,179.5736809
9,25,254.51642,305.4603043,183.1178169
9,30,259.19388,311.1226959,187.1002884
9,35,264.2848,316.2730408,190.6222916
9,40,269.6266,322.0018616,194.9086151
9,45,274.58154,327.8228531,199.3437424
9,50,279.01196,333.4274139,202.9199944
9,55,283.3421,339.0809784,206.3365173
10,0,287.66858,344.7586975,209.3143578
10,5,290.7514,347.6184616,210.5727272
10,10,294.31158,351.0222015,213.4382401
10,15,297.9131,354.4852524,215.5072403
10,20,301.2987,357.8509293,218.2006912
10,25,305.1542,361.1239777,220.7708435
10,30,308.20923,364.4029236,222.3940773
10,35,311.73108,368.0493393,224.3150902
10,40,314.7483,370.8779755,226.3729515
10,45,317.72113,374.4631958,228.8967743
10,50,321.22284,377.7833557,231.3624153
10,55,324.1845,380.3582077,234.0285492
11,0,327.26544,383.73983,236.6873322
11,5,325.77817,383.1029739,236.9798546
11,10,325.39877,381.3037338,235.879261
11,15,323.71436,380.4552917,235.5893097
11,20,322.1742,380.3184509,236.2207947
11,25,321.51483,377.2469482,237.3539429
11,30,319.21216,375.1480331,233.6736221
11,35,319.6406,373.9276886,237.3981667
11,40,318.6417,373.3424301,237.4110336
11,45,318.1978,372.9098206,236.9460983
11,50,315.74945,372.9562607,236.3901596
11,55,317.63782,372.8463898,235.0685463
12,0,318.7519,374.4938736,232.7663803
12,5,317.6126,373.4745026,231.4069023
12,10,317.22516,372.7731628,229.964283
12,15,315.77637,371.5554886,228.6158562
12,20,314.6161,370.2468948,228.3695526
12,25,313.67307,368.4493866,226.7178879
12,30,311.58322,366.719986,224.3110123
12,35,308.89206,365.2979126,222.411377
12,40,307.47885,363.8108826,221.9650574
12,45,305.478,361.809082,220.4737701
12,50,303.52777,359.9638977,218.6346474
12,55,301.31342,358.2373199,216.275116
13,0,299.233,356.3579407,214.5731621
13,5,295.88696,353.6717758,209.3991013
13,10,291.5614,350.0753021,206.3143311
13,15,288.53928,345.7615204,204.9485321
13,20,285.1101,342.7080841,203.5569267
13,25,281.8427,339.4256287,200.3714218
13,30,278.21185,336.1880341,197.2276115
13,35,275.5559,332.5000992,194.3124542
13,40,271.97556,328.4502258,191.3433609
13,45,268.80872,324.7078171,187.209156
13,50,264.82544,320.6085358,183.3825569
13,55,260.81082,316.3796158,181.146122
14,0,256.6571,311.903038,176.3580399
14,5,250.58252,307.44487,172.1553841
14,10,244.75276,301.1946182,164.0996742
14,15,239.84286,295.5595779,159.4913483
14,20,233.26274,290.5557327,154.0837822
14,25,226.20808,285.5665665,148.9002724
14,30,222.70798,280.6784134,143.2367592
14,35,215.32607,276.4928513,136.9683723
14,40,209.164,271.6039886,130.732048
14,45,204.6459,266.0455933,125.0233955
14,50,199.00018,261.0321808,118.91502
14,55,192.10623,254.9929199,112.2613297
15,0,185.52394,249.4749985,105.7084293
15,5,181.62598,244.1946335,102.0739689
15,10,177.03436,239.1845322,99.54201889
15,15,173.03404,234.0120239,96.32401276
15,20,168.44067,227.8535995,91.77179146
15,25,162.95454,221.266674,87.09889221
15,30,158.32413,216.2206383,83.04018974
15,35,153.94516,210.5516548,79.08389282
15,40,148.23737,204.7314072,74.85299873
15,45,142.55734,198.8240204,70.94243431
15,50,137.4737,191.9601822,66.50706482
15,55,132.34924,186.0148697,62.89963245
16,0,126.81607,179.677578,58.81318855
16,5,121.36875,172.8717918,54.21352196
16,10,115.48219,165.8484764,49.53894424
16,15,109.33845,158.3981667,43.66077614
16,20,102.703,150.0898743,39.45903206
16,25,94.98939,142.1138268,35.19291496
16,30,88.41853,134.6406174,30.42732048
